STRID,LAN,Remark
MSG_GUILDWAR_WORLD1,"Bang hµi %s ðã tuyên chiªn v¾i bang hµi %s, bang hµi chiªn s¨ b¡t ð¥u lúc %s, hai bên tuyên chiªn PK s¨ không b¸ phÕt, không tång ði¬m PK.",
MSG_GUILDWAR_WORLD2,"Bang hµi cüa ðÕo hæu ðã tuyên chiªn v¾i bang hµi %s, ðÕo hæu hãy chu¦n b¸ kÛ lßÞng, th¶i gian bang chiªn là %s.",
MSG_GUILDWAR_WORLD3,"Bang hµi hi®n ðang tiªn hành Bang Chiªn v¾i bang hµi %s. Cuµc chiªn kéo dài ðªn %s. Trong th¶i gian bang chiªn, có th¬ trñc tiªp công kích bang hµi khác, không b¸ tr×ng phÕt PK, cûng không tång ði¬m PK.",
MSG_GUILDWAR_WORLD4,"Bang chiªn ðang b¡t ð¥u..",
msg_guildwar1,"ÐÕo hæu không có bang hµi, không th¬ tuyên chiªn",
msg_guildwar10,"Th¶i gian hi®n tÕi không th¬ tuyên chiªn",
msg_guildwar11,"C¤p ðµ cüa bang hµi b¸ tuyên chiªn th¤p h½n %d, không th¬ tuyên chiªn",
msg_guildwar12,"C¤p ðµ bang hµi cüa ðÕo hæu th¤p h½n %d, không th¬ tuyên chiªn",
msg_guildwar2,"ÐÕo hæu không phäi bang chü, không th¬ tuyên chiªn",
msg_guildwar3,"Bang hµi ðÕo hæu mu¯n tuyên chiªn không t°n tÕi",
msg_guildwar4,"ÐÕo hæu không th¬ tuyên chiªn v¾i bang hµi cüa mình",
msg_guildwar5,"Bang hµi cüa ðÕo hæu ðã tuyên chiªn v¾i bang hµi khác, vui lòng ðþi l¥n bang chiªn này kªt thúc m¾i có th¬ tuyên chiªn v¾i bang hµi khác.",
msg_guildwar6,"Ðã có bang hµi khác tuyên chiªn v¾i bang hµi cüa ðÕo hæu, vui lòng ðþi l¥n bang chiªn này kªt thúc m¾i có th¬ tuyên chiªn v¾i bang hµi khác.",
msg_guildwar7,"Bang hµi này ðã tuyên chiªn v¾i bang hµi khác, vui lòng ðþi l¥n bang chiªn này kªt thúc m¾i có th¬ tuyên chiªn v¾i bang hµi khác.",
msg_guildwar8,"Ðã có bang hµi tuyên chiªn v¾i bang hµi này, vui lòng ðþi l¥n bang chiªn này kªt thúc m¾i có th¬ tuyên chiªn v¾i bang hµi khác.",
msg_guildwar9,"S¯ ti«n ðÕo hæu mang theo không ðü, ít nh¤t phäi c¥n %d vàng m¾i có th¬ tuyên chiªn v¾i bang hµi này",
msg_help_no_find_help,"Không tìm ðßþc thông tin trþ giúp tß½ng Ñng",
msg_helplevup1,"Hi®n chßa có nhi®m vø nào có th¬ tiªp nh§n!",
msg_helplevup2,"Hi®n chßa có c¤m ð¸a nào phù hþp v¾i c¤p ðµ cüa bÕn!",
msg_hint_actor,"Nhân v§t",
MSG_HINT_CURRENT_EQUIP_PREFIX,"Trang b¸ hi®n tÕi",
msg_hint_friend,"Xã hµi",
msg_hint_guild,"Bang hµi",
msg_hint_item,"Trang b¸",
msg_hint_skill,"KÛ nång",
msg_hint_system,"Ði«u chïnh",
msg_hint_task,"Nhi®m vø",
msg_hitrate,"Xác su¤t chí mÕng",
MSG_HOUR,"%d h",
msg_hour_before,"%d h trß¾c",
MSG_HOUR2,Gi¶,
msg_hp,"Khí huyªt",
MSG_HP_ADD,"Tång sinh m®nh %d ði¬m",
MSG_HP_GE,"HPc¥n phäi l¾n h½n %d",
MSG_HP_LE_,"HP c¥n phäi nhö h½n %d",
MSG_HP_REACH_MAX,"Sinh m®nh cüa bÕn ðã ðÕt gi¾i hÕn cao nh¤t.",
msg_hp_reg,"T¯c ðµ h°i phøc sinh m®nh",
msg_husong_usetime,"Th¶i gian: %02d:%02d:%02d",
MSG_IDENTIFY,"Giám ð¸nh",
MSG_IDENTIFY_ERROR1,"Không tìm th¤y v§t ph¦m c¥n giám ð¸nh trong b¯i bao.",
MSG_IDENTIFY_ERROR2,"Không tìm th¤y bäo thÕch dùng ð¬ giám ð¸nh trong b¯i bao.",
MSG_IDENTIFY_ERROR3,"V§t ph¦m này không th¬ giám ð¸nh.",
MSG_IDENTIFY_ERROR4,"V§t ph¦m này không c¥n giám ð¸nh næa",
MSG_IDENTIFY_ERROR5,"V§t ph¦m giám ð¸nh và bäo thÕch không hþp",
MSG_IDENTIFY_FAIL,"Giám ð¸nh th¤t bÕi!",
MSG_IDENTIFY_SUCCESS,"Chúc m×ng! Giám ð¸nh thành công!",
msg_in_block_list,"ÐÕo hæu n¢m trong danh sách ðen cüa ð¯i phß½ng nên không th¬ thñc hi®n thao tác này.",
msg_input_bulletin_to,"Vui lòng nh§p tên ngß¶i mà ðÕo hæu mu¯n gØi thông ði®p:",
msg_input_callfriend,"Vui lòng nh§p tên ngß¶i ch½i mà bÕn mu¯n g÷i: ",
msg_invalid_language,"Kí tñ mà bÕn nh§p không hþp l® ho£c nµi dung không phù hþp, không th¬ tÕo l§p",
MSG_INVALID_POS,"V¸ trí vô hi®u",
MSG_ISLINE_FAIL,"Møc tiêu n¢m ngoài phÕm vi t¤n công",
msg_item_autotel_to,"Chuy¬n ðªn: %s",
MSG_ITEM_BIND_EQUIP,"Khóa ð¸nh sau khi trang b¸ ",
MSG_ITEM_BIND_PICK,"Khóa ð¸nh sau khi nh£t",
MSG_ITEM_BINDED,"Ðã khóa ð¸nh",
MSG_ITEM_BUSY,"V§t ph¦m chßa sÇn sàng",
MSG_ITEM_CANNOT_PUT,"B¯i bao ðÕo cø cüa bÕn không th¬ dung nÕp.",
MSG_ITEM_CANNOT_RELEASE,"V§t ph¦m này không th¬ bö ra.",
msg_item_code_invalid,"Mã v§t ph¦m không hþp l®, vui lòng liên h® v¾i bµ ph§n h² trþ cüa tam gi¾i!",
MSG_ITEM_COPPER,Ð°ng,
msg_item_count_in_group,"%d món/ bµ",
MSG_ITEM_DIVIDE_FAIL,"Không th¬ phân giäi v§t ph¦m ",
MSG_ITEM_FULL,"B¯i bao ðÕo cø cüa bÕn ðã ð¥y.",
MSG_ITEM_FUSE_CONFIRM,"Pháp bäo sau khi dung hþp s¨ tñ ðµng khóa ð¸nh v¾i bÕn, không th¬ tiªn hành giao d¸ch, bÕn th§t sñ mu¯n dung hþp?",
MSG_ITEM_FUSE_FAIL,"Dung hþp th¤t bÕi",
MSG_ITEM_FUSE_SUCCESS,"Dung hþp thành công",
MSG_ITEM_GEMMY,"Ma thÕch : ",
MSG_ITEM_GEMMY_FAILED,"Khóa ð¸nh linh h°n th¤t bÕi",
MSG_ITEM_GEMMY_SUCCESS,"Khóa ð¸nh linh h°n thành công",
MSG_ITEM_GEMMY_VALID,"(%d ngày)",
MSG_ITEM_GEMMY_VALID_1,"(Ít h½n 1 ngày)",
MSG_ITEM_GOLD,"Lßþng vàng",
msg_item_hint_max_begin," [T¯i ða :",
msg_item_hint_max_end,],
MSG_ITEM_HIT_IS,"Chí MÕng: %d",
msg_item_level,"C¤p ðµ v§t ph¦m",
MSG_ITEM_LEVEL_IS," (C¤p ðµ %d)",
MSG_ITEM_MAX_UPDATE_LEV,"C¤p ðµ tu luy®n l¾n nh¤t: %d",
msg_item_needlevel,"C¤p ðµ yêu c¥u ",
MSG_ITEM_NIMBUS_IS,"Linh lñc: %d/%d",
MSG_ITEM_NO_SPACE,"ÐÕo cø bao cüa bÕn không th¬ chÑa thêm v§t ph¦m",
MSG_ITEM_NOT_FOUND,"Không tìm th¤y v§t ph¦m này trong ðÕo cø bao.",
MSG_ITEM_PRICE,Giá,
MSG_ITEM_PRICE_ALL,"T±ng giá",
MSG_ITEM_SILVER,"Lßþng bÕc",
MSG_ITEM_SINGLE,"B¯i bao cüa bÕn chï có th¬ ð£t 1 v§t ph¦m loÕi này.",
MSG_ITEM_SMITHING_FAIL_COUNT,"S¯ l¥n th¤t bÕi: %d",
msg_item_telpos_clicktomark,"Sau khi sØ døng s¨ ghi nh¾ ð¸a ði¬m hi®n tÕi trên v§t ph¦m",
msg_item_telpos_to,"GØi ðªn:%s [%d,%d]",
MSG_ITEM_TIMELIMIT,"V§t ph¦m này ðã quá hÕn.",
MSG_ITEM_TYPE_1,"Nga My Phi Kiªm",
MSG_ITEM_TYPE_10,"Tiên C¥m Cñ Nö",
MSG_ITEM_TYPE_2,"Nga My Phi Ðao",
MSG_ITEM_TYPE_3,"Ph§t Môn Thi«n Trßþng",
MSG_ITEM_TYPE_4,"Ph§t Môn Th¥n Côn",
MSG_ITEM_TYPE_5,"Bách Hoa Phi Luân",
MSG_ITEM_TYPE_6,"Bách Hoa Ph§t Châu",
MSG_ITEM_TYPE_7,"Thanh Thành Liên Ðao",
MSG_ITEM_TYPE_8,"Thanh Thành Song Ðoän",
MSG_ITEM_TYPE_9,"Tiên C¥m Tiên Cung",
MSG_ITEM_TYPE_ERROR,L²i,
MSG_ITEM_TYPE_UNKNOWN,"Không rõ",
MSG_ITEM_UNDER_LOCK,"V§t ph¦m ðang · trong trÕng thái m§t mã bäo v®!",
MSG_ITEM_UPDATE_1,"Phäi ð£t pháp bäo 1 vào trß¾c",
MSG_ITEM_UPDATE_2,"Phäi ð£t pháp bäo 2 vào trß¾c",
MSG_ITEM_UPDATE_CONFIRM,"Pháp bäo sau khi tinh luy®n s¨ tñ ðµng khóa ð¸nh v¾i bÕn, không th¬ tiªn hành giao d¸ch, bÕn th§t sñ mu¯n tinh luy®n?",
MSG_ITEM_UPDATE_HINT,"Ð£t pháp bäo 1 vào ô trái,pháp bäo 2 vào ô phäi,sau khi dung hþp thành công,linh lñc pháp bäo v« 0.",
MSG_ITEM_USE_CONFIRM,"Ð¬ bäo ðäm an toàn, v§t ph¦m này sau khi sØ døng s¨ tr· thành v§t ph¦m khóa ð¸nh, không th¬ giao d¸ch, di chuy¬n ho£c giäi khóa ð¸nh. ÐÕo hæu có th§t sñ mu¯n sØ døng và tiªn hành khóa ð¸nh v§t ph¦m này không?",
MSG_ITEM_USE_ERROR_STATE,"TrÕng thái hi®n nay cüa bÕn không th¬ sØ døng v§t ph¦m.",
MSG_ITEM_USE_NEED_OTHER,"SØ døng v§t ph¦m th¤t bÕi, c¥n [%s]",
msg_item1,"Vì lý do ðây là v§t ph¦m Hoàng Kim quý hiªm ho£c có c¤p ðµ khäm nÕm l¾n h½n 5, nên trong %d tiªng bäo hµ an toàn, v§t ph¦m này chï ðßþc phép giao d¸ch hay di chuy¬n 1 l¥n. ÐÕo hæu có th§t sñ mu¯n di chuy¬n v§t ph¦m không?",
msg_item2,"Ðây là v§t ph¦m Hoàng Kim quý hiªm ho£c có c¤p ðµ khäm nÕm l¾n h½n 5. Trong gi¾i hÕn %d tiªng bäo hµ an toàn, ðÕo hæu ðã giao d¸ch hay di chuy¬n v§t ph¦m này 1 l¥n. ÐÕo hæu vui lòng tiªn hành di chuy¬n sau %d tiªng næa. Sñ gi¾i hÕn này có th¬ gây b¤t ti®n cho ðÕo hæu nhßng t¤t cä là vì bäo toàn v§t ph¦m quý giá cüa ðÕo hæu.",
msg_item3,"V§t ph¦m có th¬ di chuy¬n sau %d tiªng",
msg_item4,"V§t ph¦m có th¬ di chuy¬n sau %d phút",
msg_item5,"V§t ph¦m có th¬ di chuy¬n sau %d giây",
msg_item6,"KÜ Thú là v§t ph¦m quý hiªm nên ð¬ bäo toàn lþi ích cüa ðÕo hæu, v§t ph¦m này không th¬ dùng làm v§t ph¦m may m¡n!",
msg_item7,"V§t ph¦m này chï có th¬ sØ døng ð¯i v¾i trang b¸ dß¾i c¤p ðµ 60.",
msg_item8,"V§t ph¦m này chï có th¬ dùng v¾i v¾i trang b¸ c¤p 60 tr· lên",
MSG_ITEMFUSE,"Dung hþp pháp bäo",
MSG_ITEMFUSE_ERROR1,"Không tìm th¤y pháp bäo 1 trong hành lý.",
MSG_ITEMFUSE_ERROR2,"Không tìm th¤y pháp bäo 2 trong hành lý.",
MSG_ITEMFUSE_ERROR3,"Pháp bäo g¯c và pháp bäo møc tiêu không ðßþc gi¯ng nhau.",
MSG_ITEMFUSE_ERROR4,"Chï có pháp bäo trong cùng mµt h® m¾i có th¬ dung hþp.",
MSG_ITEMFUSE_ERROR5,"BÕn không ðü khä nång dung hþp hai pháp bäo này.",
MSG_ITEMFUSE_ERROR6,"C¤p ðµ cüa pháp bäo møc tiêu phäi l¾n h½n pháp bäo g¯c.",
MSG_ITEMFUSE_ERROR7,"Pháp bäo møc tiêu phäi cao c¤p h½n pháp bäo g¯c",
MSG_ITEMFUSE_ERROR8,"V§t ph¦m quá hÕn không th¬ dung hþp.",
MSG_ITEMFUSE_ERROR9,"Thuµc tính cüa pháp bäo 2 không th¬ th¤p h½n thuµc tính cüa pháp bäo 1",
MSG_ITEMUPDATE_ERROR1,"BÕn chï có th¬ tinh luy®n pháp bäo cüa b±n môn.",
MSG_ITEMUPDATE_ERROR2,"Chï có pháp bäo m¾i có th¬ tinh luy®n.",
msg_killed_info1,"Hôm nay ðÕo hæu ðã PK v¾i %s trong Tu Luy®n Trß¶ng, do ðó s¨ không ðßþc tính ði¬m",
msg_leasing_over,"Thao tác th¤t bÕi, ðÕo cø b¯i bao ðã quá hÕn",
msg_leasingbank_already_exist,"Thß½ng kh¯ chï ð¸nh mà bÕn thuê vçn ðang trong th¶i gian hæu hi®u.",
msg_leasingbank_fail,"Thao tác thß½ng kh¯ b¯i bao th¤t bÕi, vui lòng thØ lÕi sau.",
msg_leasingbank_success,"Thao tác thß½ng kh¯ b¯i bao thành công",
msg_leasingtime,"Th¶i hÕn: %d/%02d/%02d %02d:%02d",
msg_leave_battle,"H°i Thü!",
msg_leave_ectype,"BÕn không · trong c¤m ð¸a nhóm, s¨ b¸ ð¦y ra trong %d giây.",
MSG_LEV_NOTENOUGH,"C¥n c¤p ðµ %d",
msg_level,"C¤p ðµ ",
MSG_LEVEL_LE,"C¤p ðµ c¥n phäi nhö h½n %d",
MSG_LEVEL_SHOW,"C¤p ðµ %d  %03.2f%%",
msg_level_x,"C¤p ðµ %d",
msg_levelupguide1,"Tên c¤m ð¸a",
msg_levelupguide2,"Khu vñc luy®n công thích hþp hi®n tÕi",
msg_levelupguide3,"Tên quái v§t",
msg_levelupguide4,"C¤p ðµ quái v§t",
MSG_LIFESKILL_CONFIRM_STUDY,"BÕn th§t sñ mu¯n h÷c %s?",
MSG_LIFESKILL_DEL,"BÕn th§t sñ mu¯n lãng quên kÛ nång sinh hoÕt này ?",
MSG_LIFESKILL_ERR,"C¥n c¤p %d %s",
msg_lifeskill_err1,"Không có kÛ nång %s",
msg_lifeskill_err2,"Ðã kích hoÕt kÛ nång %s",
msg_lifeskill_err3,"Chßa kích hoÕt kÛ nång %s",
MSG_LIFESKILL_ERROR1,"BÕn không biªt kÛ nång h² trþ này",
MSG_LIFESKILL_ERROR2,"C¤p ðµ kÛ nång h² trþ cüa bÕn không ðü",
MSG_LIFESKILL_ERROR3,"Nguyên li®u cüa bÕn không ðü",
MSG_LIFESKILL_ERROR4,"Khung trang b¸ phäi còn tr¯ng ít nh¤t 1 ô",
MSG_LIFESKILL_ERROR5,"BÕn chï có th¬ h÷c t¯i ða hai kÛ nång sinh hoÕt",
MSG_LIFESKILL_ERROR6,"KÛ nång này chßa kích hoÕt",
MSG_LIFESKILL_EXIST,"BÕn ðã h÷c ðßþc kÛ nång sinh hoÕt này",
MSG_LIFESKILL_LEVLIMIT,"BÕn hi®n chßa th¬ tu luy®n kÛ nång sinh hoÕt c¤p ðµ cao h½n",
MSG_LIFESKILL_STUDIED,"BÕn ðã h÷c ðßþc mµt kÛ nång sinh hoÕt : %s",
msg_light,Lôi,
msg_lightarm,"Kháng Lôi",
MSG_LIGHTARM_HINT,"Giäm sÑc sát thß½ng Lôi H® cüa kë ð¸ch c¤p ðµ %d xu¯ng: %.2f%% ",
MSG_LOADTIME_1,"Th¶i gian v§n: %d gi¶ %d phút %d giây",
MSG_LOADTIME_2,"Th¶i gian v§n: %d gi¶ %d phút",
MSG_LOADTIME_3,"Th¶i gian v§n: %d phút %d giây",
MSG_LOADTIME_4,"Th¶i gian v§n: %d phút",
MSG_LOADTIME_5,"Th¶i gian v§n: %d giây",
MSG_LOADTIME_6,"Th¶i gian v§n: %.1f giây",
msg_login1,"Ðång nh§p th¤t bÕi, không rõ nguyên nhân!",
msg_login10,"Nguyên nhân khóa:",
msg_login11,"ÐÕo hæu, vi®c tÕo nhân v§t th¤t bÕi, tên nhân v§t có chÑa kí tñ c¤m, bÕn vui lòng sØa lÕi.",
msg_login12,"ÐÕo hæu, vi®c tÕo nhân v§t th¤t bÕi, tên nhân v§t chï có th¬ sØ døng kí tñ và chæ s¯.",
msg_login13,"Nhân v§t ðã b¸ khóa!",
msg_login14,"Nh§p sai mã an toàn, vui lòng nh§p lÕi!",
msg_login15,"Nh§p sai mã s¯ bäo m§t, vui lòng nh§p lÕi!",
msg_login16,"Máy chü tÕm th¶i không ðång nh§p ðßþc",
msg_login2,"Ðång nh§p th¤t bÕi.",
msg_login20,"BÕn phäi ðång nh§p trong th¶i gian chï ð¸nh",
msg_login21,"M§t mã thÑ hai b¸ sai, nªu GM ðang thao tác trên tài khoän cüa bÕn, xin vui lòng ðþi.",
msg_login24,"Ðã hªt s¯ l¥n ðång nh§p, vui lòng yêu c¥u lÕi.",
msg_login25,"ÐÕo hæu phäi ðång nh§p tÕi khoäng th¶i gian chï ð¸nh. Vui lòng ðång ký lÕi th¶i gian ðång nh§p m¾i.",
msg_login26,"Tên tài khoän ho£c m§t kh¦u tÕm th¶i không ðúng!",
msg_login3,"Sai tên ðång nh§p ho£c m§t mã!",
msg_login4,"Ðang liên kªt v¾i máy chü..",
msg_login5,"ÐÕo hæu, tên nhân v§t này ðã ðßþc sØ døng, vui lòng thØ tên khác.",
msg_login6,"ÐÕo hæu, bÕn tÕo nhân v§t th¤t bÕi, không rõ nguyên nhân, vui lòng thØ lÕi.",
msg_login7,"ÐÕo hæu, ðµ dài tên cüa bÕn không ðúng, vui lòng sØa lÕi.",
msg_login8,"ÐÕo hæu, trong mµt máy chü chï có th¬ tÕo t¯i ða 3 nhân v§t, nªu bÕn mu¯n tÕo thêm nhân v§t, hãy tÕo thêm mµt tài khoän mi­n phí m¾i.",
msg_login9,"Tài khoän này ðã b¸ khóa ðªn ngày:",
msg_look_for_help,"/s Tr· v« kênh chung  /? chat dò tìm thông tin cø th¬",
msg_loot_body_assign_item,"BÕn th§t sñ mu¯n phân b¯ v§t ph¦m  [%s] cho [%s]?",
msg_loot_body_title,"Phân b¯ v§t ph¦m",
msg_loot_drop_task_error,"V§t ph¦m cho nhi®m vø ðã ðü",
MSG_LOSE_," m¤t ",
msg_mail_ask_ack,"BÕn th§t sñ mu¯n gØi ðính kèm cho [%s]?",
msg_mail_can_not_send_money_error,"Khi gØi bßu ki®n không th¬ gØi ti«n vàng",
msg_mail_cannot_send,"V§t ph¦m không th¬ gØi b¢ng bßu ki®n.",
msg_mail_const_a_money,"Ngân lßþng gØi kèm: ",
msg_mail_const_bronze," ð°ng ",
msg_mail_const_gold," lßþng vàng, ",
msg_mail_const_silver," lßþng bÕc, ",
msg_mail_content_invalid,"Nµi dung bßu ki®n quá dài.",
msg_mail_content_null,"Không th¬ ð¬ tr¯ng nµi dung bßu ki®n.",
msg_mail_data_err,"S¯ bßu ki®n b¸ sai.",
msg_mail_del_ask,"Cänh báo: Xóa bßu ki®n ð°ng nghîa v¾i vi®c xóa cä ðính kèm!",
msg_mail_del_fail,"Hüy bßu ki®n th¤t bÕi",
msg_mail_get_failed,"L¤y bßu ki®n th¤t bÕi.",
msg_mail_get_money_overflow,"BÕn không th¬ mang thêm ngân lßþng ðßþc næa!",
msg_mail_have_new,"BÕn có bßu ki®n m¾i! Vui lòng ðªn g£p ngß¶i Quän Lý Bßu Ki®n trong thành ð¬ nh§n. (Vui lòng ð« cao cänh giác, ð« phòng bßu ki®n l×a gÕt)",
msg_mail_hlink,"Bßu ki®n",
msg_mail_item_cannot_trade,"V§t ph¦m không th¬ gØi b¢ng bßu ki®n",
msg_mail_lessthan_oneday,"Ít h½n 1 ngày",
msg_mail_money_overflow,"S¯ ti«n gØi qua bßu ki®n vßþt quá gi¾i hÕn.",
msg_mail_not_sys_mail,"Chú ý: Không phäi bßu ki®n h® th¯ng, hãy th§n tr÷ng",
msg_mail_notenough_money,"Không ðü ngân lßþng.",
msg_mail_notenough_postage,"Không ðü bßu phí.",
msg_mail_notenough_size,"Không th¬ l¤y ðßþc v§t ph¦m, có th¬ do b¯i bao ðã ð¥y ho£c do nguyên nhân khác.",
msg_mail_notfind_item,"V§t ph¦m [%s] không tìm th¤y.",
msg_mail_notfind_mail,"Chßa tìm th¤y bßu ki®n chï ð¸nh.",
msg_mail_notfind_user,"Không tìm th¤y ngß¶i ch½i tên là ""%s"".",
msg_mail_other_err1,"Ð¬ bäo v® an toàn, m²i ngày t¯i ða chï có th¬ gØi %d bßu ki®n có kèm v§t ph¦m ho£c ngân lßþng.",
msg_mail_other_err2,"Thân mªn, m²i ngày ðÕo hæu chï có th¬ gØi t¯i ða %d bßu ki®n thß¶ng (không có ðính kèm), ðÕo hæu vui lòng gØi tiªp vào ngày mai!",
msg_mail_recv_invalid,"Không th¬ nh§n dÕng ngß¶i nh§n.",
msg_mail_recv_null,"Không th¬ ð¬ tr¯ng ô ngß¶i nh§n.",
msg_mail_remain_days,"%d ngày",
msg_mail_send_failed,"GØi bßu ki®n th¤t bÕi.",
msg_mail_send_success,"GØi bßu ki®n thành công.",
msg_mail_sendto_self_error,"Không th¬ gØi bßu ki®n cho chính mình",
msg_mail_title_invalid,"Không th¬ nh§n dÕng tiêu ð« bßu ki®n.",
msg_mail_title_null,"Không th¬ ð¬ tr¯ng ð« møc.",
msg_mail_user_cannot_send,"Không th¬ gØi bßu ki®n",
msg_maintrump_del_protect,"Ð¬ bäo toàn v§t ph¦m quý giá, pháp bäo chính nªu tu luy®n h½n c¤p ðµ %d thì không th¬ hüy hay xóa bö.",
msg_max_update_level,"C¤p ðµ tu luy®n cao nh¤t",
msg_maxchr_error,"S¯ ngß¶i trong c¤m ð¸a ðã ðü, không th¬ vào!",
MSG_MAXHP_GE,"HP t¯i ða c¥n phäi l¾n h½n %d",
MSG_MAXHP_LE,"HP t¯i ða c¥n phäi nhö h½n %d",
msg_media_getitem,"[%s] sau khi chiªn ð¤u gian kh± v¾i %s, ðã giành ðßþc [%s]!",
msg_media_killboss,"[%s]  tÕi ""%s"" ðã thành công tiêu di®t BOSS l¾n %s!",
msg_media_killboss20sheyao,"[%s] ðã thành công tiêu di®t Boss l¾n Nguyên Th¥n Xà Yêu tÕi c¤m ð¸a Vân Linh S½n Xà Huy®t.",
msg_media_killboss20youtai,"[%s] ðã thành công tiêu di®t Boss l¾n Yêu ÐÕo Vßu Thái Chân tÕi c¤m ð¸a H± Träo S½n Ð¢ng Tu Ðµng.",
msg_media_killboss30,"[%s] ðã thành công tiêu di®t Boss l¾n Hi¬u Nguy®t Thi«n Sß tÕi c¤m ð¸a H¡c Phong TrÕi Hoan HÖ Ði®n.",
msg_media_killboss35,"[%s] ðã thành công tiêu di®t Boss l¾n Ðµc Long Th¥n Tß¾ng tÕi c¤m ð¸a H± Quª Hoa S½n H°ng Hoa Ðµng.",
msg_media_killboss40,"[%s] ðã thành công tiêu di®t Boss l¾n Hoàng Tiêu tÕi c¤m ð¸a Thanh Loa S½n Ma Cung.",
msg_media_killboss45,"[%s] ðã thành công tiêu di®t Boss l¾n Li®t Höa Lão T± tÕi c¤m ð¸a Mãng Thß½ng S½n Yêu Nhân Ðµng Phü.",
msg_media_killboss55,"[%s] ðã thành công tiêu di®t Boss l¾n Quách Vân Ph¯c tÕi c¤m ð¸a Ngß Th¥n Ðµng Th¤t Tinh Ðài.",
msg_media_killboss60,"[%s] ðã thành công tiêu di®t Boss l¾n Cñ Ðµc Vån Chu tÕi c¤m ð¸a Læ Thôn Vån Chu Ðµng.",
msg_media_killboss65,"[%s] ðã thành công tiêu di®t Boss l¾n Thê TØ Chu H°ng tÕi c¤m ð¸a TÑ Môn S½n Ngân H° Ðµng.",
msg_media_killboss70,"[%s] ðã thành công tiêu di®t Boss l¾n Løc Bào Lão T± Nh¸ Gi¾i Nguyên Th¥n tÕi c¤m ð¸a Bách Man S½n Âm Phong Ðµng.",
msg_media_smithing,"Không th¬ tin ðßþc! [%s] ðã thành công khäm nÕm [%s] ðªn +%d!",
msg_media_smithing_1,"Vi®c ð¶i khó lß¶ng! Lúc [%s] ðem [%s] khäm nÕm lên +%d ðã th¤t bÕi, b¸ r¾t xu¯ng còn +%d!",
msg_minimap_max_size,"Ð¸a ð° nhö ðã thu nhö ðªn kích thß¾c t¯i thi¬u!",
msg_minimap_min_size,"Ð¸a ð° nhö ðã phóng to ðªn kích thß¾c t¯i ða!",
msg_minimap_unknow_area,"Khu vñc chßa biªt",
msg_minute," phút ",
MSG_MINUTE,"%d phút",
MSG_MINUTE2,Phút,
msg_misc1,"Ð¯i v¾i [%s], ðÕo hæu th§t sñ mu¯n tiªn hành thao tác [%s]?",
msg_movspeed,"T¯c ðµ di chuy¬n",
msg_mp,"Pháp lñc",
MSG_MP_GE_,"MPc¥n phäi l¾n h½n %d",
MSG_MP_LE_,"MP c¥n phäi nhö h½n %d",
MSG_MP_REACH_MAX,"Pháp lñc cüa bÕn ðã ðÕt gi¾i hÕn cao nh¤t",
msg_mp_reg,"T¯c ðµ h°i phøc pháp lñc",
msg_murder_apply_fail,"Công b¯ treo thß·ng th¤t bÕi",
msg_murder_apply_success,"Công b¯ treo thß·ng thành công",
msg_murder_begin1,"Ngß¶i trong giang h°, ai có th¬ không chÕm ðªn ðao kiªm? [%s] ðã phát CØu Thiên HÕo L®nh ð¯i v¾i [%s]!! ([%s])",
msg_murder_begin2,"Giang h° lan truy«n, có ngß¶i nói r¢ng, chï c¥n b¡t ðßþc [%s], s¨ ðßþc tr÷ng thß·ng [%s]",
msg_murder_condition1,"Treo thß·ng th¤t bÕi, ngß¶i ch½i chï ð¸nh [%s] không t°n tÕi",
msg_murder_condition10,"Vui lòng nh§p tên nhân v§t bÕn mu¯n truy nã",
msg_murder_condition11,"Treo thß·ng th¤t bÕi, không tìm th¤y ngß¶i ch½i chï ð¸nh ho£c ngß¶i ch½i không có m£t",
msg_murder_condition12,"Không th¬ treo thß·ng chính mình",
msg_murder_condition13,"Treo thß·ng th¤t bÕi, s¯ ngân lßþng treo thß·ng ít nh¤t phäi là %d lßþng vàng",
msg_murder_condition14,"Treo thß·ng th¤t bÕi, không th¬ tiªn hành treo thß·ng!",
msg_murder_condition2,"Treo thß·ng th¤t bÕi, bÕn không có ðü ngân lßþng",
msg_murder_condition3,"Treo thß·ng th¤t bÕi, s¯ ngân lßþng mà bÕn treo thß·ng vßþt quá gi¾i hÕn cho phép",
msg_murder_condition4,"Treo thß·ng th¤t bÕi, ngß¶i treo thß·ng ít nh¤t phäi ðÕt c¤p %d",
msg_murder_condition5,"Treo thß·ng th¤t bÕi, ngß¶i b¸ truy nã ít nh¤t phäi ðÕt c¤p %d",
msg_murder_condition6,"Treo thß·ng th¤t bÕi, không tìm th¤y v§t ph¦m dùng ð¬ treo giäi",
msg_murder_condition7,"Treo thß·ng th¤t bÕi, h® th¯ng hi®n ðang tÕm ðóng",
msg_murder_condition8,"Treo thß·ng th¤t bÕi, ngß¶i b¸ truy nã trong mµt ngày ðã b¸ truy nã quá nhi«u!",
msg_murder_condition9,"Treo thß·ng th¤t bÕi, phäi nh§p s¯ ngân lßþng thß·ng vào",
msg_murder_end,"Có tr÷ng thß·ng t¤t có dûng phu, [%s] ðã b¸ qu¥n hùng kÏ hi®p b¡t g÷n.",
msg_murder_get_reward,"BÕn ðã thành công có ðßþc giäi thß·ng cüa [%s]",
